name	VT	intercept	coef_X2	MSE	SigmaSqr	LogLike	AIC	FPE	CoV
ctx-rh-temporalpole	1.5867704001843785	-50.16230906065187	0.03163272245433907	353200.91233608086	353199.6719789939	-123.90135166568379	253.80270333136758	6357616.422049455	0.10122571175969808
ctx-rh-transversetemporal	2.1556217766348085	-57.51652503380082	0.03747830341572289	335633.7094326218	335627.66269795044	-123.49320406678179	252.98640813356357	6041406.769787191	0.07604644939121642
ctx-rh-insula	1.8577277784542883	-51.29210303133244	0.036218592505740534	179132.24837243656	179130.46834840276	-118.47004363268056	242.94008726536111	3224380.4707038584	0.061963159940840014
wm-lh-bankssts	1.9199013489984016	-55.15927641291623	0.03480649990087312	116632.68819364741	116632.63376991816	-115.0372949312364	236.0745898624728	2099388.3874856536	0.04641729450548394
wm-lh-caudalanteriorcingulate	1.728482853136261	-57.665221584464575	0.02997444223125862	272634.7291918112	272634.31414127053	-121.83012052853816	249.66024105707632	4907425.125452601	0.07689130297424397
wm-lh-caudalmiddlefrontal	1.9412890466332262	-55.86218255687926	0.03475139992349193	82688.68294874404	82688.45071567282	-112.28571793888267	230.57143587776534	1488396.2930773927	0.03846101734205805
wm-lh-cuneus	2.013878179606399	-55.76046344879057	0.03611659686896092	133604.69034295107	133603.5516489869	-116.1241331832403	238.2482663664806	2404884.4261731193	0.04892202190272438
wm-lh-entorhinal	1.7254089581941867	-44.636070568814056	0.03865503697361032	294061.6045384707	294061.57954451407	-122.43537295521543	250.87074591043086	5293108.881692472	0.0795713302785784
wm-lh-fusiform	1.9518155607076175	-57.072570505142096	0.034198837435082126	85940.7730228185	85940.75797962245	-112.59432557384524	231.18865114769048	1546933.914410733	0.03882350090645426
wm-lh-inferiorparietal	1.9258754350661729	-56.004977038027384	0.03438757654982169	31351.06511716244	31350.956805880847	-104.5270412406269	215.0540824812538	564319.1721089239	0.024133641096506047
wm-lh-inferiortemporal	2.0839643749937187	-58.992855479785774	0.035325707800460696	44122.301796722575	44122.07809384209	-107.26077660755332	220.52155321510665	794201.4323410064	0.02668806851037475
wm-lh-isthmuscingulate	1.7398159548845462	-56.17448073548902	0.030971642854642233	200933.1188007981	200932.5667518452	-119.38883289895605	244.7776657979121	3616796.1384143657	0.06613983560443355
wm-lh-lateraloccipital	1.8750757352400225	-55.54624310573537	0.03375702172459641	42858.677814532086	42858.46829456818	-107.02831899963498	220.05663799926995	771456.2006615775	0.02904859699088028
