name	VT	intercept	coef_X2	MSE	SigmaSqr	LogLike	AIC	FPE	CoV
Right-Amygdala	1.3995318348193106	-34.12949791309667	0.041006516954422055	419729.41659874475	419729.3695185135	-125.2819407107094	256.56388142141884	7555129.498777405	0.12384726957577909
Right-Accumbens-area	1.5637973032872208	-34.26317433219627	0.045640759613383465	338206.72024378285	338206.71862859925	-123.55431721345496	253.10863442690993	6087720.964388092	0.10574230676338704
Right-VentralDC	1.4649171539000794	-30.391050255557516	0.04820225499223063	166354.4007846338	166352.53341512496	-117.87801119495573	241.75602238991146	2994379.2141234083	0.07357750182921192
Right-vessel	1.6818017980327347	-35.596455943335094	0.04724632701384496	1655646.5358858753	1655645.614532213	-136.2606331478356	278.5212662956712	29801637.645945754	0.19441897242894843
Right-choroid-plexus	1.2574969544844512	-42.30711214389976	0.029723062879057065	100147.62687489709	100147.60684589444	-113.8182214921261	233.6364429842522	1802657.2837481478	0.06487107831677605
Optic-Chiasm	0.8757602648881301	-37.79188810899431	0.023173233958631006	1546400.530689419	1546397.9432009123	-135.7145392584783	277.4290785169566	27835209.55240954	0.3801150975797798
CC_Posterior	1.4643812347658092	-49.14159935125548	0.02979921805757014	227975.79388008747	227975.78131878749	-120.39897435703826	246.7979487140765	4103564.289841574	0.0774535360075172
CC_Mid_Posterior	1.268840950262338	-48.5914248901999	0.026112445830297978	385909.2165378824	385909.0015299045	-124.60987541788136	255.2197508357627	6946365.897681883	0.12202942311613617
CC_Central	1.1438736940993843	-41.87471388667708	0.02731657336680504	57755.81918540896	57755.77056930548	-109.41485079690749	224.82970159381497	1039604.7453373614	0.05026512537104682
CC_Mid_Anterior	1.2799269324293825	-50.01032904428509	0.025593251572009916	246686.43614771782	246686.3982434605	-121.03000293638509	248.06000587277018	4440355.850658921	0.09644540752370073
CC_Anterior	1.4646702625226031	-49.796608179249844	0.029413052737453885	230000.77040803147	230000.3153108352	-120.46971805260854	246.93943610521708	4140013.867344566	0.07660573575988815
ctx-lh-bankssts	2.0877832895368797	-58.350715712153615	0.0357799088504072	333221.6844195865	333221.4581882987	-123.43552198393677	252.87104396787353	5997990.319552558	0.07715925923488663
ctx-lh-caudalanteriorcingulate	1.9449795561742018	-57.55019009289004	0.033796231655097375	277694.15398130286	277689.54930218164	-121.97720492235538	249.95440984471077	4998494.771663452	0.07570394126831258
ctx-lh-caudalmiddlefrontal	2.1572122506626226	-64.16747692459168	0.03361846770440631	80951.71361637661	80950.45515827452	-112.11586600786583	230.23173201573167	1457130.845094779	0.03766660901416455
ctx-lh-cuneus	2.0871727788409706	-59.529145507132554	0.03506135962578018	126764.11969022569	126762.00215628461	-115.70366633318768	237.40733266637537	2281754.1544240625	0.04840017806073255
ctx-lh-entorhinal	1.5518489896574028	-44.678251758062174	0.03473387898122876	98995.62494041238	98995.6248778324	-113.7256640155956	233.4513280311912	1781921.248927423	0.05346806690510525
ctx-lh-fusiform	1.9933497140595504	-52.02146242401888	0.03831783308612253	112404.38058482319	112403.60493024213	-114.7418751417001	235.4837502834002	2023278.8505268174	0.0453328899317612
ctx-lh-inferiorparietal	2.0146881546955484	-58.85794534479231	0.03422967184622944	66635.73240511243	66634.64436008166	-110.55897008583042	227.11794017166085	1199443.1832920236	0.035762593208922666
ctx-lh-inferiortemporal	2.105450287091698	-60.01348281920306	0.035082954499317906	99594.1685033207	99592.73190702249	-113.77387324895821	233.54774649791642	1792695.0330597726	0.041796633572800286
ctx-lh-isthmuscingulate	2.0566454871933977	-63.337402652493275	0.03247126344093047	404820.9086064547	404807.7015243839	-124.99258428850044	255.98516857700088	7286776.354916184	0.08906237519052194
ctx-lh-lateraloccipital	1.8983030365200133	-56.544705432196714	0.03357172032306873	46790.06341997233	46789.4840893885	-107.73041326445981	221.46082652891963	842221.141559502	0.031352624754609794
ctx-lh-lateralorbitofrontal	2.029214074734405	-55.54403528094884	0.036533429097658825	122045.47000863346	122043.84273551451	-115.40019487260878	236.80038974521756	2196818.4601554023	0.04758443026265312
ctx-lh-lingual	2.0223455467005573	-54.115803972808884	0.03737070131521484	105064.2025673195	105062.63624923218	-114.20161678614625	234.4032335722925	1891155.646211751	0.04443455987973505
ctx-lh-medialorbitofrontal	1.9855226110801683	-57.05118490381951	0.03480247806294449	124900.32240035714	124898.09130535186	-115.58516888825335	237.1703377765067	2248205.8032064284	0.05026478442358809
ctx-lh-middletemporal	2.023696643198179	-60.06843618171768	0.03368985064096121	78565.74002310145	78564.47772270553	-111.87652851185557	229.75305702371114	1414183.320415826	0.0386260092214407
ctx-lh-parahippocampal	1.6678878056256115	-44.437551278285724	0.037533296899746584	197355.65915455908	197355.6562168584	-119.2451185676376	244.4902371352752	3552401.8647820638	0.07061657087542056
ctx-lh-paracentral	1.8580402823487254	-52.15025081389081	0.03562859724260071	62882.262346136835	62882.10426184093	-110.09516925926518	226.19033851853035	1131880.722230463	0.03761426828244732
ctx-lh-parsopercularis	2.0738555253335127	-58.29635369843226	0.035574360895050006	128000.35900613842	127998.40470065614	-115.78130804507157	237.56261609014314	2304006.4621104915	0.04797683439162385
ctx-lh-parsorbitalis	2.0778571604524445	-61.300763607379686	0.03389610566290404	372966.1923063447	372959.6782853427	-124.33694352490156	254.6738870498031	6713391.461514204	0.08263420784389464
ctx-lh-parstriangularis	2.1353243041249863	-60.66094716467321	0.03520097202452724	275767.5512891784	275762.95153897715	-121.9215085272681	249.8430170545362	4963815.923205211	0.06865987565542972
ctx-lh-pericalcarine	2.1562647516577003	-58.27032111403512	0.03700451122343888	136956.68231763886	136955.17218895358	-116.32236524411583	238.64473048823166	2465220.2817174993	0.04845351714042658
ctx-lh-postcentral	1.8733873949719675	-54.775371873545545	0.03420127204789902	33972.877009329	33972.65062873925	-105.16955186958884	216.3391037391777	611511.7861679221	0.02698269971917909
ctx-lh-posteriorcingulate	2.051746845456722	-54.674656040035956	0.03752647010626484	97293.95558949118	97293.80391178047	-113.58695213121527	233.17390426243054	1751291.2006108412	0.042600927477100606
ctx-lh-precentral	1.930753477076468	-55.96321661527949	0.03450040211858229	46553.355742636115	46552.995375730345	-107.6898437433123	221.3796874866246	837960.4033674501	0.030976015116281216
ctx-lh-precuneus	2.1234087517765006	-57.68416584068436	0.03681094665806662	97067.14654229204	97066.21782307039	-113.56827296693119	233.13654593386238	1747208.637761257	0.04149086472618595
ctx-lh-rostralanteriorcingulate	1.8768465460473946	-54.14704575110426	0.034662030402815076	205106.96857652772	205106.83020773137	-119.55331121638339	245.10662243276678	3691925.434377499	0.06715952287115118
ctx-lh-rostralmiddlefrontal	2.1792943373426676	-61.46743881674541	0.035454451646177394	86362.65183847064	86360.79039825143	-112.63347970649085	231.2669594129817	1554527.7330924717	0.03801657821632769
ctx-lh-superiorfrontal	1.9833813170987407	-60.35123123306658	0.0328639743808912	45038.92579609993	45037.99838673147	-107.42525524151256	220.85051048302512	810700.6643297988	0.030416161210288433
ctx-lh-superiorparietal	1.9522389139925105	-58.940417950890904	0.03312224415543022	38657.10104717602	38656.668623185265	-106.20289145833809	218.40578291667617	695827.8188491684	0.028197968997555542
ctx-lh-superiortemporal	2.0034931958680944	-59.75307851221078	0.03352953932672561	119927.69079552565	119925.68934215812	-115.26015395077935	236.5203079015587	2158698.4343194617	0.04852634519535538
ctx-lh-supramarginal	1.9793625267969719	-57.92598572999305	0.03417054542711205	62838.962305054585	62837.95936044317	-110.08964520305656	226.17929040611313	1131101.3214909825	0.03529532207155208
ctx-lh-frontalpole	1.7352294553023737	-46.04707326419231	0.03768381641427239	167336.01942557297	167336.0083215262	-117.92508976268485	241.8501795253697	3012048.3496603137	0.06455916734955507
